Policy_document_id,Title,"Translated title","Document type","Source title","Source country","Source state","Source type","Source subtype",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors"
ipeabr-0a7c827ab9d4e6e554ef2f36e951ed6a,"Introdução à acessibilidade urbana: um guia prático em R","Introduction to urban accessibility: a practical guide in R",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2023-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=a1e95f5d-60e7-4fc0-a933-3734bf50c062,https://app.overton.io/document.php?policy_document_id=ipeabr-0a7c827ab9d4e6e554ef2f36e951ed6a,,,"Text file|Fortaleza Metro|Accessibility",por,
ipeabr-55c24a905d17e68d72c51b8195d3df61,"Introduction to urban accessibility : a practical guide with R",,Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2023-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=d6240605-d90f-4043-8db6-516ee0d75910,https://app.overton.io/document.php?policy_document_id=ipeabr-55c24a905d17e68d72c51b8195d3df61,,,"GTFS|Accessibility (transport)|Data analysis",eng,
ipeabr-55c24a905d17e68d72c51b8195d3df61,"Introduction to urban accessibility : a practical guide with R",,Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2023-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=d6240605-d90f-4043-8db6-516ee0d75910,https://app.overton.io/document.php?policy_document_id=ipeabr-55c24a905d17e68d72c51b8195d3df61,,,"Accessibility|Branches of science|Geography",eng,
ipeabr-6818b1585366211e2af065139b59156a,"Desigualdades raciais e de renda no acesso à saúde nas cidades brasileiras","Racial and income inequalities in access to healthcare in Brazilian cities",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2023-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=7c874904-171d-477e-af94-14ecd83a56d6,https://app.overton.io/document.php?policy_document_id=ipeabr-6818b1585366211e2af065139b59156a,,,"Sistema Único de Saúde|Health|Public transport",por,
ipeabr-6818b1585366211e2af065139b59156a,"Desigualdades raciais e de renda no acesso à saúde nas cidades brasileiras","Racial and income inequalities in access to healthcare in Brazilian cities",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2023-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=7c874904-171d-477e-af94-14ecd83a56d6,https://app.overton.io/document.php?policy_document_id=ipeabr-6818b1585366211e2af065139b59156a,,,"Health|Pará|Sistema Único de Saúde",por,
ipeabr-7d83fb47197df879673977fcb846d67e,"Os impactos desiguais do congestionamento urbano no acesso a empregos","The uneven impacts of urban congestion on access to jobs",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2023-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=854ccf4c-f1aa-4bdf-8135-7b7e90857e02,https://app.overton.io/document.php?policy_document_id=ipeabr-7d83fb47197df879673977fcb846d67e,,,Time|Traffic|Poverty,por,
vtise-52e6b0e7387555b2ca964ca857dc6f00,"Äldre förare av motorfordon i trafikolycka : analys av data från Strada 2010–2019","Older drivers of motor vehicles in traffic accidents : analysis of data from Strada 2010–2019",Publication,VTI,Sweden,,government,,2022-12-16,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=761&pid=diva2%3A1720026&c=373&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-52e6b0e7387555b2ca964ca857dc6f00,,,"Speed limit|Truck|Risk",swe,
vtise-a77fc22e1ac5e630cbd178873c9a595b,"Äldre förare av motorfordon i trafikolycka : analys av data från Strada 2010–2019","Older drivers of motor vehicles in traffic accidents : analysis of data from Strada 2010–2019",Publication,VTI,Sweden,,government,,2022-12-16,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=4798&pid=diva2%3A1720026&c=455&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-a77fc22e1ac5e630cbd178873c9a595b,,,"Speed limit|Truck|Risk",swe,
vtise-a53f3c84a9ecfa94b4ea040a10e26d6e,"Äldre förare av motorfordon i trafikolycka : analys av data från Strada 2010–2019","Older drivers of motor vehicles in traffic accidents : analysis of data from Strada 2010–2019",Publication,VTI,Sweden,,government,,2022-12-16,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-423&pid=diva2%3A1720026&c=549&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-a53f3c84a9ecfa94b4ea040a10e26d6e,,,"Speed limit|Truck|Risk",swe,
vtise-954528545f5db1ca74127761c4da18a8,"Äldre förare av motorfordon i trafikolycka : analys av data från Strada 2010–2019","Older drivers of motor vehicles in traffic accidents : analysis of data from Strada 2010–2019",Publication,VTI,Sweden,,government,,2022-12-16,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=683&pid=diva2%3A1720026&c=737&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-954528545f5db1ca74127761c4da18a8,,,"Speed limit|Truck|Risk",swe,
governmentofindonesia-ebaff4275ef49697eff9fb5f7045aabe,"Versi EnglishPaper The Implementation of the Potensia Apps for Online Psychological Assessment during the Pandemic for Highschool Students in West Sumatra",,"Scholarly article","Government of Indonesia",Indonesia,,government,,2022-11-30,0,0,http://download.garuda.kemdikbud.go.id/article.php?article=3274114&val=28749&title=The%20Implementation%20of%20the%20Potensia%20Apps%20for%20Online%20Psychological%20Assessment%20during%20the%20Pandemic%20for%20Highschool%20Students%20in%20West%20Sumatra,https://app.overton.io/document.php?policy_document_id=governmentofindonesia-ebaff4275ef49697eff9fb5f7045aabe,,,"School counselor|Psychology|Counseling psychology",eng,"Ministry of Education and Culture"
europa-21b9a0138a47052832bfa6b72450a30c,"Transport poverty : a systematic literature review in Europe.",,Publication,"Publications Office of the European Union",EU,,government,,2022-11-18,0,0,https://op.europa.eu/en/publication-detail/-/publication/0422e50e-6a35-11ed-b14f-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-21b9a0138a47052832bfa6b72450a30c,,,"Cost of living|Poverty|Gender mainstreaming",eng,"Joint Research Centre (European Commission)|Mejía Dorantes, L|Murauskaite-Bull, I"
jointresearcheu-fe844861c32571b4f90bdc5567b7046b,"Transport Poverty: A systematic literature review in Europe",,Publication,"Joint Research Centre",EU,,government,agency,2022-11-16,12,14,https://publications.jrc.ec.europa.eu/repository/handle/JRC129559,https://app.overton.io/document.php?policy_document_id=jointresearcheu-fe844861c32571b4f90bdc5567b7046b,"Energy and transport|Environment and climate change|Health and consumer protection",,"Cost of living|Poverty|Gender mainstreaming",eng,"MEJÍA DORANTES Lucía|MURAUSKAITE-BULL Ingrida"
stateoftennessee-5836e0a5c677dac7b4d35f33230fd429,"Using Big Data and Machine Learning to Evaluate and Rank the Performance of Traffic Signals in Tennessee",,Publication,"State of Tennessee",USA,,government,,2022-10-07,0,1,https://www.tn.gov/content/dam/tn/tdot/long-range-planning/research/final-reports/res2021-final-reports/RES2021-09_Final_Report_Approved.pdf,https://app.overton.io/document.php?policy_document_id=stateoftennessee-5836e0a5c677dac7b4d35f33230fd429,,,"Cluster analysis|Computer network|K-means clustering",eng,
wcpp-3c16e4cd72f5ad389e07a60afbc31ba1,"International review of effective anti-poverty policies and programmes",,Publication,"Wales Centre for Public Policy",UK,,"think tank",,2022-09-14,3,7,https://wcpp.org.uk/publication/international-review-of-effective-anti-poverty-policies-and-programmes/,https://app.overton.io/document.php?policy_document_id=wcpp-3c16e4cd72f5ad389e07a60afbc31ba1,,,"Demand-responsive transport|Shared transport|Carpool",eng,"Irene Bucelli|Abigail McKnight"
worldbank-9fd54e7c3e077cba056c31902e900c89,"Mobility and Resilience : A Global Assessment of Flood Impacts on Road Transportation Networks",,"Working paper","World Bank",IGO,,igo,"development bank",2022-05-18,0,0,https://openknowledge.worldbank.org/handle/10986/37452,https://app.overton.io/document.php?policy_document_id=worldbank-9fd54e7c3e077cba056c31902e900c89,,,"Flood|Climate resilience|Cluster analysis",eng,"He, Yiyi|Rentschler, Jun|Avner, Paolo|Gao, Jianxi|Yue, Xiangyu|Radke, John"
worldbank-bbbc380d409ddf87620a5c5203c7a4a5,"Is a Mile for One a Mile for All? : A Knowledge Synthesis Report on Gender and Mobility (2000–20)",,Publication,"World Bank",IGO,,igo,"development bank",2022-04-29,0,3,https://openknowledge.worldbank.org/handle/10986/37354,https://app.overton.io/document.php?policy_document_id=worldbank-bbbc380d409ddf87620a5c5203c7a4a5,,,"Disability|Public transport|Poverty",eng,"Alam, Muneeza Mehmood|Kurshitashvili, Nato|Dominguez Gonzalez, Karla|Gonzalez Carvajal, Karla|Baruah, Bipasha"
ipeabr-a07d9ffdafe3f955bbc7be237cefb23e,Saúde,Health,Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2022-03-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=b0e6cae4-2cdd-4adc-9b43-a61fdd12df90,https://app.overton.io/document.php?policy_document_id=ipeabr-a07d9ffdafe3f955bbc7be237cefb23e,,,"COVID-19 pandemic|Sistema Único de Saúde|Mental health",por,
worldbank-26160fc0a96233a26311a2cccdbc1f5a,"Cox's Bazar : Inclusive Growth Diagnostic",,Publication,"World Bank",IGO,,igo,"development bank",2022-01-18,0,1,https://openknowledge.worldbank.org/handle/10986/36841,https://app.overton.io/document.php?policy_document_id=worldbank-26160fc0a96233a26311a2cccdbc1f5a,,,"Rohingya refugees in Bangladesh|Economic growth|Kutupalong refugee camp",eng,
ipeabr-031c725a70ded349cfc07c4cecb604d3,"Estimativas de acessibilidade a empregos e serviços públicos via transporte ativo, público e privado nas vinte maiores cidades do Brasil no período 2017-2019","Estimates of accessibility to jobs and public services via active, public and private transport in the twenty largest cities in Brazil in the period 2017-2019",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2022-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=f1d4b22c-c7af-4ea7-b9e9-7e3d6d9ffdae,https://app.overton.io/document.php?policy_document_id=ipeabr-031c725a70ded349cfc07c4cecb604d3,,,Data|Traffic|Time,por,
ipeabr-031c725a70ded349cfc07c4cecb604d3,"Estimativas de acessibilidade a empregos e serviços públicos via transporte ativo, público e privado nas vinte maiores cidades do Brasil no período 2017-2019","Estimates of accessibility to jobs and public services via active, public and private transport in the twenty largest cities in Brazil in the period 2017-2019",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2022-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=f1d4b22c-c7af-4ea7-b9e9-7e3d6d9ffdae,https://app.overton.io/document.php?policy_document_id=ipeabr-031c725a70ded349cfc07c4cecb604d3,,,"Time|Traffic|Public transport",por,
ipeabr-923a35c2bc2749d1b5740745b32db500,"Políticas Sociais : Acompanhamento e Análise : n. 29, 2022","Social Policies: Monitoring and Analysis: n. 29, 2022",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2022-01-01,0,4,https://www.ipea.gov.br/portal/publicacao-item?id=0f492f60-dc38-4101-8a23-ef72200a6d13,https://app.overton.io/document.php?policy_document_id=ipeabr-923a35c2bc2749d1b5740745b32db500,,,"COVID-19 pandemic|Sistema Único de Saúde|Mental health",por,
ipeabr-923a35c2bc2749d1b5740745b32db500,"Políticas Sociais : Acompanhamento e Análise : n. 29, 2022","Social Policies: Monitoring and Analysis: n. 29, 2022",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2022-01-01,0,4,https://www.ipea.gov.br/portal/publicacao-item?id=0f492f60-dc38-4101-8a23-ef72200a6d13,https://app.overton.io/document.php?policy_document_id=ipeabr-923a35c2bc2749d1b5740745b32db500,,,"COVID-19 pandemic|Poverty|Bolsa Família",por,
stateofcatalunya-b2d7762f2b9af2677ad1e5605d17bdb0,"Long-term exposure to PM10 above WHO guidelines exacerbates COVID-19 severity and mortality",,"Scholarly article","Generalitat de Catalunya",Spain,,government,,2021-12-10,0,0,https://scientiasalut.gencat.cat/bitstream/handle/11351/9623/long_term_exposure_pm10_above_who_guidelines_exacerbates_covid_19_severity_and_mortality_2022.pdf?sequence=1&isAllowed=y,https://app.overton.io/document.php?policy_document_id=stateofcatalunya-b2d7762f2b9af2677ad1e5605d17bdb0,,,"Regression analysis|Air pollution|COVID-19 pandemic",eng,
europa-6824596dcb11599e10825d3d179e11e3,"Support study for the evaluation of Regulation (EU) N° 1315/2013 on Union guidelines for the development of the trans-European transport network . Annex to final report, Case study 5 : high-speed rail and the European long-distance passenger network.",,Publication,"Publications Office of the European Union",EU,,government,,2021-11-22,0,0,https://op.europa.eu/en/publication-detail/-/publication/af63e4a5-4c1b-11ec-91ac-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-6824596dcb11599e10825d3d179e11e3,,,"Demand|High-speed rail|Rail transport",eng,"Directorate-General for Mobility and Transport (European Commission)|FGM-AMOR|Optimity Advisors|Tetra Tech International Development|TIS"
worldbank-ccab132c87e58cd030ce24a6c433cfab,"Building an Equitable Society in Colombia",,Publication,"World Bank",IGO,,igo,"development bank",2021-11-10,8,9,https://openknowledge.worldbank.org/handle/10986/36535,https://app.overton.io/document.php?policy_document_id=worldbank-ccab132c87e58cd030ce24a6c433cfab,,,"Economic inequality|Labour economics|Poverty",eng,
vtise-97f2d6d16c834ac1391b07caeab404fe,"Förändringar i transportrelaterad välfärd och myndighetsförtroende : en studie om personer som fått sitt körkort återkallat på grund av synfältsbortfall","Changes in transport-related well-being and trust in authorities: a study of people with impaired vision",Publication,VTI,Sweden,,government,,2021-10-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=683&pid=diva2%3A1617036&c=1079&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-97f2d6d16c834ac1391b07caeab404fe,,,"Content analysis|Health|Disability",swe,
vtise-1f1c6b99a1ca9ffe8cf0ddfc297192cf,"Äldre bilförare : En litteraturgenomgång","Older drivers : A literature review",Publication,VTI,Sweden,,government,,2021-10-13,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=683&pid=diva2%3A1603222&c=1131&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-1f1c6b99a1ca9ffe8cf0ddfc297192cf,,,"Diabetes|Dementia|Cardiovascular disease",swe,
izade-14b63d4ee9480b0e040f627c6d504550,"Carpooling: User Profiles and Well-being",,"Working paper","IZA Institute of Labor Economics",Germany,,"think tank",,2021-09-19,0,0,https://www.iza.org/publications/dp/14736/carpooling-user-profiles-and-well-being,https://app.overton.io/document.php?policy_document_id=izade-14b63d4ee9480b0e040f627c6d504550,,,"Plug-in hybrid|Fuel economy in automobiles|Regression analysis",eng,
bancoes-e60854924b4229a22f3139adc2b10141,"Documentos Ocasionales. 2122. El acceso a servicios en la España rural","Occasional Documents. 2122. Access to services in rural Spain",Publication,"Banco de España",Spain,,government,bank,2021-09-02,2,5,https://www.bde.es/f/webbde/SES/Secciones/Publicaciones/PublicacionesSeriadas/DocumentosOcasionales/21/Fich/do2122.pdf,https://app.overton.io/document.php?policy_document_id=bancoes-e60854924b4229a22f3139adc2b10141,,,"European Union|Computer accessibility|Land value tax",spa,
ipeabr-5569eb217ed2826bdbad475be2dc6fe1,"TD 2673 - Tendências e desigualdades da mobilidade urbana no Brasil I: o uso do transporte coletivo e individual","TD 2673 - Trends and inequalities of urban mobility in Brazil I: the use of collective and individual transport",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2021-07-22,0,1,http://www.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38324,https://app.overton.io/document.php?policy_document_id=ipeabr-5569eb217ed2826bdbad475be2dc6fe1,,,"Transit-oriented development|Public transport|COVID-19 pandemic",por,"Rodrigo Costa"
europa-b487dc2dec3a8fc229b07bd21c07825a,"Access and cost of education and health services : preparing regions for demographic change.",,Publication,"Publications Office of the European Union",EU,,government,,2021-07-14,0,0,https://op.europa.eu/en/publication-detail/-/publication/35709b5d-e518-11eb-a1a5-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-b487dc2dec3a8fc229b07bd21c07825a,,,"Health care|Population decline|Total fertility rate",eng,"Joint Research Centre (European Commission)|Organisation for Economic Co-operation and Development"
ipeabr-327005276662dee2793b29b7367d757f,"Tendências e desigualdades da mobilidade urbana no Brasil I : o uso do transporte coletivo e individual","Trends and inequalities in urban mobility in Brazil I: the use of collective and individual transport",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2021-07-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=0597865a-d364-4451-9952-d910509fdc10,https://app.overton.io/document.php?policy_document_id=ipeabr-327005276662dee2793b29b7367d757f,,,"Transit-oriented development|Public transport|COVID-19 pandemic",por,
oecddiscovery-ee720dd682086ae84ccf910fab6f2b3f,"Access and Cost of Education and Health Services",,Publication,OECD,IGO,,igo,,2021-06-30,27,57,https://dx.doi.org/10.1787/4ab69cf3-en,https://app.overton.io/document.php?policy_document_id=oecddiscovery-ee720dd682086ae84ccf910fab6f2b3f,,,"Health care|School|Population decline",eng,
jointresearcheu-a31f68a36cd157a589af87dde76fcf93,"Access and Cost of Education and Health Services",,Publication,"Joint Research Centre",EU,,government,agency,2021-06-25,4,5,https://publications.jrc.ec.europa.eu/repository/handle/JRC125015,https://app.overton.io/document.php?policy_document_id=jointresearcheu-a31f68a36cd157a589af87dde76fcf93,"Health and consumer protection|Innovation and growth|JRC corporate",,"Health care|School|Total fertility rate",eng,"JACOBS Christiaan|KOMPIL Mert|MORENO-MONROY Ana"
vtise-e646cb9e9a2ce246f364c4dc2085a7ef,"Vardagen i rörelse : en forsknings- och kunskapsöversikt om familjers vardagsmobilitet, social hållbarhet och mobilitetsrättvisa","Everyday life in motion : a research and knowledge overview on families&#39; everyday mobility, social sustainability and mobility justice",Publication,VTI,Sweden,,government,,2021-06-15,1,6,https://vti.diva-portal.org/smash/record.jsf?dswid=683&pid=diva2%3A1566725&c=1233&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-e646cb9e9a2ce246f364c4dc2085a7ef,,,"Intersectionality|Racial segregation|Culture",swe,
vtise-fa330d5c9729a54a351214d56dbddf48,"What are we missing when we measure accessibility? : Comparing calculated and self-reported accounts among older people",,"Scholarly article",VTI,Sweden,,government,,2021-05-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=683&pid=diva2%3A1844027&c=230&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-fa330d5c9729a54a351214d56dbddf48,,,"Statistics|Interquartile range|Rush hour",eng,
europa-3e5d08875a7014149cc533d013429dd1,"Evaluating the impact of nature-based solutions : appendix of methods.",,Publication,"Publications Office of the European Union",EU,,government,,2021-05-04,1,1,https://op.europa.eu/en/publication-detail/-/publication/6da29d54-ad4e-11eb-9767-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-3e5d08875a7014149cc533d013429dd1,,,"Green infrastructure|Wetland|Carbon sequestration",eng,"Directorate-General for Research and Innovation (European Commission)|Dumitru, Adina|Wendling, Laura"
europa-d7cf0b4cbdb2fc2e66ed638480b8c134,"Evaluating the impact of nature-based solutions : a handbook for practitioners.",,Publication,"Publications Office of the European Union",EU,,government,,2021-05-04,14,19,https://op.europa.eu/en/publication-detail/-/publication/d7d496b5-ad4e-11eb-9767-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-d7cf0b4cbdb2fc2e66ed638480b8c134,,,"Nature-based solutions|Impact evaluation|United Nations Office for Disaster Risk Reduction",eng,"Directorate-General for Research and Innovation (European Commission)"
iiasaat-db6b5fa136139e58a15f3d2f79ed68ff,"How much mobility infrastructure is required for decent mobility standards? A comparative assessment and explorative modelling",,Publication,IIASA,Austria,,"think tank","research center",2021-02-16,0,0,https://pure.iiasa.ac.at/id/eprint/17802/?template=default_internal,https://app.overton.io/document.php?policy_document_id=iiasaat-db6b5fa136139e58a15f3d2f79ed68ff,ECE|prog_ysp,,"Human Development Index|Sustainability|Infrastructure",eng,"Virag, D."
