Policy_document_id,Title,"Translated title","Document type","Source title","Source country","Source state","Source sector","Source organisation type","Source function",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors","Related to SDGs","Document theme"
vtise-67f0bd6afe11f9b4f35e1660355495aa,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-05-23,0,1,https://vti.diva-portal.org/smash/record.jsf?dswid=5742&pid=diva2%3A1860612&c=136&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-67f0bd6afe11f9b4f35e1660355495aa,,,"Attitude (psychology)|Behavior|Categorical variable",eng,,"SDG 11: Sustainable Cities and Communities","Demand Responsive Transport for Young People in Sweden"
vtise-818be2f9c284c22ea754e1dbc39832a7,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-05-23,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-3417&pid=diva2%3A1860612&c=256&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-818be2f9c284c22ea754e1dbc39832a7,,,"Attitude (psychology)|Behavior|Categorical variable",eng,,"SDG 11: Sustainable Cities and Communities","Demand Responsive Transport for Young People in Sweden"
vtise-cbb6f6fa865a274b79df08a1ca3fe76e,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-05-23,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-1416&pid=diva2%3A1860612&c=201&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-cbb6f6fa865a274b79df08a1ca3fe76e,,,"Attitude (psychology)|Behavior|Categorical variable",eng,,"SDG 11: Sustainable Cities and Communities","Demand Responsive Transport for Young People in Sweden"
vtise-48c8c73dbdcbd856b1d75552009d78ed,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-05-23,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-6094&pid=diva2%3A1860612&c=202&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-48c8c73dbdcbd856b1d75552009d78ed,,,"Attitude (psychology)|Behavior|Categorical variable",eng,,"SDG 11: Sustainable Cities and Communities","Demand responsive transport for young people in Sweden"
vtise-da1d84837ebcabc39315c0768d3fdd75,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-05-23,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-5485&pid=diva2%3A1860612&c=342&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-da1d84837ebcabc39315c0768d3fdd75,,,"Attitude (psychology)|Behavior|Categorical variable",eng,,"SDG 11: Sustainable Cities and Communities","Demand responsive transport for young people in Sweden"
bankofmexico-377d059c8178f0defb3f0df71e7c5d8f,"2024-02: Transporte Público y Precios al Consumidor: Tiendas de Cadena, Comercios Semifijos y Pequeños Negocios","2024-02: Public Transport and Consumer Prices: Chain Stores, Semi-Fixed Shops and Small Businesses","Working paper","Banco de México (Banxico)",Mexico,,"Public Sector",Government,"National Body|OVSEP|Financial Institution or Bank|OVSEP|Central Bank",2024-05-16,0,0,https://www.banxico.org.mx/DIBM/web/documento/visor.html?clave=2024-02,https://app.overton.io/document.php?policy_document_id=bankofmexico-377d059c8178f0defb3f0df71e7c5d8f,,,"Bread|Bus rapid transit|Cake",eng,"Angel Espinoza E.","SDG 11: Sustainable Cities and Communities","Impact of Bus Rapid Transit system on consumer prices"
trafa-7c601cd3c5c99a8cb10c04236cfd871a,"Tillgänglighet – teori och praktik","Accessibility – theory and practice",Publication,Trafikanalys,Sweden,,"Public Sector",Government,"National Body|OVSEP|Government Agency|OVSEP|Policy Centre",2024-03-27,1,2,https://www.trafa.se/etiketter/transportovergripande/abc-om-tillganglighet-14556/,https://app.overton.io/document.php?policy_document_id=trafa-7c601cd3c5c99a8cb10c04236cfd871a,,,Communication|Democracy|Geography,swe,,,"Accessibility and its definition"
anses-c7ac37fe22e32a2e5365df3d25ffdbdb,"Annexe de l'Avis de l'Anses relatif à l’état des connaissances sur l’influence du travail à distance sur la santé des travailleurs - Télétravail : Effets sur la santé et les conditions de travail - Revue de la littérature 2023","Annex to the ANSES Opinion relating to the state of knowledge on the influence of remote working on the health of workers - Teleworking: Effects on health and working conditions - Literature review 2023",Publication,ANSES,France,,"Public Sector",Government,"National Body|OVSEP|Government Agency|OVSEP|Food and Drug Safety|OVSEP|Healthcare Service, Body or Agency|OVSEP|Monitoring or Regulatory Body",2024-02-12,0,0,https://www.anses.fr/fr/system/files/AP2021SA0091-Anx-RapportCRD.pdf,https://app.overton.io/document.php?policy_document_id=anses-c7ac37fe22e32a2e5365df3d25ffdbdb,,,"Branches of science|Business|COVID-19 pandemic",fre,,"SDG 3: Good Health and Well-being|SDG 8: Decent Work and Economic Growth","Effects of telecommuting on workers' health and working conditions"
vtise-a7675528038ec2f0c6f396ba41a77613,"Upplevd tillgänglighet : En sammanställning av tidigare forskning","Perceived accessibility : A compilation of previous research",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-01-24,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=932&pid=diva2%3A1854568&c=160&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-a7675528038ec2f0c6f396ba41a77613,,,"Branches of science|Context (linguistics)|Information",swe,,"SDG 10: Reduced Inequality","Perceived accessibility and its relationship to objective accessibility"
vtise-0a67ec0e01f0513919ec7219f070e7d7,"Upplevd tillgänglighet : En sammanställning av tidigare forskning","Perceived accessibility : A compilation of previous research",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-01-24,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-1416&pid=diva2%3A1854568&c=243&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-0a67ec0e01f0513919ec7219f070e7d7,,,"Branches of science|Context (linguistics)|Information",swe,,,"Accessibility and its measurement"
vtise-171db51fc6d598d94c8f3b34305660f7,"Upplevd tillgänglighet : En sammanställning av tidigare forskning","Perceived accessibility : A compilation of previous research",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-01-24,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-3417&pid=diva2%3A1854568&c=298&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-171db51fc6d598d94c8f3b34305660f7,,,"Branches of science|Context (linguistics)|Information",swe,,"SDG 11: Sustainable Cities and Communities","Perceived accessibility in transport planning and policy-making"
vtise-36f304dcec75be7e691c89b37df2597f,"Upplevd tillgänglighet : En sammanställning av tidigare forskning","Perceived accessibility : A compilation of previous research",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-01-24,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=5742&pid=diva2%3A1854568&c=178&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-36f304dcec75be7e691c89b37df2597f,,,"Branches of science|Context (linguistics)|Information",swe,,"SDG 11: Sustainable Cities and Communities","Accessibility in transportation systems"
vtise-81564582224ee0146de0dc89de5a238a,"Upplevd tillgänglighet : En sammanställning av tidigare forskning","Perceived accessibility : A compilation of previous research",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-01-24,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-6094&pid=diva2%3A1854568&c=244&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-81564582224ee0146de0dc89de5a238a,,,"Branches of science|Context (linguistics)|Information",swe,,"SDG 11: Sustainable Cities and Communities","Accessibility in transportation systems"
vtise-09fbd43041d6e7c658543cba97ec67cc,"Upplevd tillgänglighet : En sammanställning av tidigare forskning","Perceived accessibility: A compilation of previous research",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-01-24,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-5485&pid=diva2%3A1854568&c=384&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-09fbd43041d6e7c658543cba97ec67cc,,,"Branches of science|Context (linguistics)|Information",swe,,,"Perceived accessibility and its relationship with objective measures"
aitat-5f4bd026889219559ac78ce843a685ed,"Automatisierter ÖPNV","Automated public transport",Publication,"Austrian Institute of Technology",Austria,,"Public Sector",University,"Research Centre",2024-01-01,0,0,https://publications.ait.ac.at/en/publications/automatisierter-%C3%B6pnv,https://app.overton.io/document.php?policy_document_id=aitat-5f4bd026889219559ac78ce843a685ed,,,"Artificial intelligence|Automation|Bus",ger,"Paul Rosenkranz|Christian Rudloff",,"Automated public transportation and mobility transition"
vtise-3e373d99b55b71345994aa2a45cb765c,"Spatio-Temporal Investigation of Public Transport Demand Using Smart Card Data",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2023-09-18,0,2,https://vti.diva-portal.org/smash/record.jsf?dswid=932&pid=diva2%3A1800939&c=762&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-3e373d99b55b71345994aa2a45cb765c,,,"Akaike information criterion|Branches of science|Dependent and independent variables",eng,,"SDG 11: Sustainable Cities and Communities","Public transport demand and its influential factors"
vtise-1a4867e9fa2ed969b7efb50abe05300b,"Spatio-Temporal Investigation of Public Transport Demand Using Smart Card Data",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2023-09-18,0,3,https://vti.diva-portal.org/smash/record.jsf?dswid=5742&pid=diva2%3A1800939&c=780&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-1a4867e9fa2ed969b7efb50abe05300b,,,"Akaike information criterion|Branches of science|Dependent and independent variables",eng,,"SDG 11: Sustainable Cities and Communities","Public Transport Demand and Sustainability"
vtise-2df76c458ac5330babeeb05b7a0eb09e,"Spatio-Temporal Investigation of Public Transport Demand Using Smart Card Data",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2023-09-18,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=761&pid=diva2%3A1800939&c=84&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-2df76c458ac5330babeeb05b7a0eb09e,,,"Akaike information criterion|Branches of science|Dependent and independent variables",eng,,"SDG 11: Sustainable Cities and Communities","Public transport demand and sustainability"
vtise-7f9f4e2f618335d9cde61c9b867a5744,"Spatio-Temporal Investigation of Public Transport Demand Using Smart Card Data",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2023-09-18,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-423&pid=diva2%3A1800939&c=260&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-7f9f4e2f618335d9cde61c9b867a5744,,,"Akaike information criterion|Branches of science|Dependent and independent variables",eng,,"SDG 11: Sustainable Cities and Communities","Public Transport Demand and Sustainability"
vtise-a2d8a4e00262f5615c1b68a73bb178a9,"Spatio-Temporal Investigation of Public Transport Demand Using Smart Card Data",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2023-09-18,0,3,https://vti.diva-portal.org/smash/record.jsf?dswid=4798&pid=diva2%3A1800939&c=166&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-a2d8a4e00262f5615c1b68a73bb178a9,,,"Akaike information criterion|Branches of science|Dependent and independent variables",eng,,"SDG 11: Sustainable Cities and Communities","Public transport demand and its influential factors"
vtise-009c1ca5b864231fe822fe7b367e60bb,"Spatio-Temporal Investigation of Public Transport Demand Using Smart Card Data",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2023-09-18,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-6094&pid=diva2%3A1800939&c=846&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-009c1ca5b864231fe822fe7b367e60bb,,,"Akaike information criterion|Branches of science|Dependent and independent variables",eng,,"SDG 11: Sustainable Cities and Communities","Importance of public transport in promoting sustainability and providing efficient urban mobility"
vtise-73fed520533938d2d28de4e94ab86015,"Spatio-Temporal Investigation of Public Transport Demand Using Smart Card Data",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2023-09-18,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-3417&pid=diva2%3A1800939&c=900&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-73fed520533938d2d28de4e94ab86015,,,"Akaike information criterion|Branches of science|Dependent and independent variables",eng,,"SDG 11: Sustainable Cities and Communities","Public Transport and Sustainability"
vtise-da9d83c8d47b861dd670fcd3bb71e3cf,"Spatio-Temporal Investigation of Public Transport Demand Using Smart Card Data",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2023-09-18,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-1416&pid=diva2%3A1800939&c=845&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-da9d83c8d47b861dd670fcd3bb71e3cf,,,"Akaike information criterion|Branches of science|Dependent and independent variables",eng,,"SDG 11: Sustainable Cities and Communities","Public transport demand forecasting and its role in promoting sustainability"
vtise-0127591c4c66237d5afb0c91df23c604,"Spatio-Temporal Investigation of Public Transport Demand Using Smart Card Data",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2023-09-18,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-5485&pid=diva2%3A1800939&c=986&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-0127591c4c66237d5afb0c91df23c604,,,"Akaike information criterion|Branches of science|Dependent and independent variables",eng,,"SDG 11: Sustainable Cities and Communities","Public Transport Demand and Sustainability"
