"Subject area",Topic,"Document count","Reason highlighted"
All,Cali,4,"seen more often than expected in this context"
All,"High-occupancy vehicle lane",3,"seen more often than expected in this context"
All,"Salvador, Bahia",3,"seen more often than expected in this context"
All,"Bicycle-sharing system",3,"seen more often than expected in this context"
All,Paratransit,3,"seen more often than expected in this context"
All,"Subjective well-being",5,"seen more often than expected in this context"
All,"Rio de Janeiro",8,"seen more often than expected in this context"
All,"Hybrid (biology)",3,"seen more often than expected in this context"
All,"Cluster analysis",5,"seen more often than expected in this context"
All,"Life satisfaction",5,"seen more often than expected in this context"
All,"Special Report on Emissions Scenarios",3,"seen more often than expected in this context"
All,"Urban sprawl",7,"seen more often than expected in this context"
All,"Sistema Único de Saúde",5,"seen more often than expected in this context"
All,"Climate change vulnerability",3,"seen more often than expected in this context"
All,"IPCC Fifth Assessment Report",3,"seen more often than expected in this context"
All,"Residential segregation in the United States",3,"seen more often than expected in this context"
All,Gentrification,4,"seen more often than expected in this context"
All,Walkability,7,"seen more often than expected in this context"
All,"Capital expenditure",3,"seen more often than expected in this context"
All,Carpool,4,"seen more often than expected in this context"
All,"Rio de Janeiro (state)",3,"seen more often than expected in this context"
All,"Urban open space",4,"seen more often than expected in this context"
All,"Eigenvalues and eigenvectors",3,"seen more often than expected in this context"
All,Walking,4,"seen more often than expected in this context"
All,"Mode of transport",4,"seen more often than expected in this context"
All,"Categorical variable",4,"seen more often than expected in this context"
All,"Transit-oriented development",4,"seen more often than expected in this context"
All,"Road pricing",4,"seen more often than expected in this context"
All,"Swedish Transport Administration",4,"seen more often than expected in this context"
All,"Population decline",3,"seen more often than expected in this context"
All,"Vehicular automation",3,"seen more often than expected in this context"
All,Taxicab,4,"seen more often than expected in this context"
All,Crowdsourcing,3,"seen more often than expected in this context"
All,"Toronto Transit Commission",3,"seen more often than expected in this context"
All,Space,7,"seen more often than expected in this context"
All,"Global Positioning System",6,"seen more often than expected in this context"
All,"World population",11,"seen more often than expected in this context"
All,"Vision Zero",3,"seen more often than expected in this context"
All,"Self-report study",3,"seen more often than expected in this context"
All,"Northeast Region, Brazil",3,"seen more often than expected in this context"
All,Autocorrelation,4,"seen more often than expected in this context"
All,"São Paulo",5,"seen more often than expected in this context"
All,"Social vulnerability",3,"seen more often than expected in this context"
All,"Representative Concentration Pathway",3,"seen more often than expected in this context"
All,"Dependency ratio",3,"seen more often than expected in this context"
All,"Storm surge",3,"seen more often than expected in this context"
All,"Social network",4,"seen more often than expected in this context"
All,"General circulation model",3,"seen more often than expected in this context"
All,"Universal design",3,"seen more often than expected in this context"
All,"IPCC Fourth Assessment Report",3,"seen more often than expected in this context"
All,"Extreme weather",5,"seen more often than expected in this context"
All,Multicollinearity,3,"seen more often than expected in this context"
All,Travel,6,"seen more often than expected in this context"
All,"Active mobility",4,"seen more often than expected in this context"
All,"Economies of scale",4,"seen more often than expected in this context"
All,Pará,5,"seen more often than expected in this context"
All,"Ocean acidification",4,"seen more often than expected in this context"
All,"Mathematical optimization",6,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Hybrid (biology)",4,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Knowledge,4,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Land transport",4,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Road transport",4,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Roundabout,4,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Speed limit",4,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Swedish Transport Administration",4,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Truck,4,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Vision Zero",4,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Capital expenditure",3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Construction,3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Dependency ratio",3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Economies of scale",3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",England,3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Europe,3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Expense,3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Extreme weather",3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",France,3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Israel,3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Normal distribution",3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Population ageing",3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Population decline",3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Salary,3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Sparse matrix",3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Teacher,3,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","United Kingdom",3,"seen more often than expected in this context"
"Economy, Business And Finance","Public transport",55,"seen more often than expected in this context"
"Economy, Business And Finance",Technology,19,"seen frequently"
"Economy, Business And Finance","Rapid transit",18,"seen more often than expected in this context"
"Economy, Business And Finance",Policy,13,"seen frequently"
"Economy, Business And Finance","Quality of life",12,"seen more often than expected in this context"
"Economy, Business And Finance","Market (economics)",11,"seen frequently"
"Economy, Business And Finance",Subsidy,11,"seen frequently"
"Economy, Business And Finance","Rail transport",8,"seen frequently"
"Economy, Business And Finance","Social inequality",8,"seen frequently"
"Economy, Business And Finance",Innovation,7,"seen frequently"
"Economy, Business And Finance","Rio de Janeiro",7,"seen more often than expected in this context"
"Economy, Business And Finance",Urbanization,7,"seen frequently"
"Economy, Business And Finance","Capability approach",6,"seen more often than expected in this context"
"Economy, Business And Finance",Curitiba,6,"seen more often than expected in this context"
"Economy, Business And Finance","Cycling infrastructure",6,"seen frequently"
"Economy, Business And Finance",Fortaleza,6,"seen more often than expected in this context"
"Economy, Business And Finance","General Transit Feed Specification",4,"seen more often than expected in this context"
"Economy, Business And Finance","Travel behavior",4,"seen more often than expected in this context"
"Economy, Business And Finance",GTFS,3,"seen more often than expected in this context"
"Economy, Business And Finance","Natal, Rio Grande do Norte",3,"seen more often than expected in this context"
"Economy, Business And Finance","Sparse matrix",3,"seen more often than expected in this context"
"Economy, Business And Finance",Belém,4,"seen more often than expected in this context"
"Economy, Business And Finance",Manaus,5,"seen more often than expected in this context"
"Economy, Business And Finance",Recife,5,"seen more often than expected in this context"
"Economy, Business And Finance","Life satisfaction",5,"seen more often than expected in this context"
"Economy, Business And Finance","Subjective well-being",5,"seen more often than expected in this context"
"Economy, Business And Finance","Mode choice",6,"seen more often than expected in this context"
"Economy, Business And Finance","Porto Alegre",5,"seen more often than expected in this context"
"Economy, Business And Finance","Multinomial logistic regression",6,"seen more often than expected in this context"
"Economy, Business And Finance","Google Scholar",3,"seen more often than expected in this context"
"Economy, Business And Finance","Belo Horizonte",5,"seen more often than expected in this context"
"Economy, Business And Finance",Distance,5,"seen more often than expected in this context"
"Economy, Business And Finance",Alagoas,4,"seen more often than expected in this context"
"Economy, Business And Finance",Intersectionality,5,"seen more often than expected in this context"
"Economy, Business And Finance","Self-report study",3,"seen more often than expected in this context"
"Economy, Business And Finance",OpenStreetMap,4,"seen more often than expected in this context"
"Economy, Business And Finance","Residential segregation in the United States",3,"seen more often than expected in this context"
"Economy, Business And Finance","Categorical variable",4,"seen more often than expected in this context"
"Economy, Business And Finance","Shared transport",3,"seen more often than expected in this context"
"Economy, Business And Finance","Salvador, Bahia",3,"seen more often than expected in this context"
"Economy, Business And Finance","Systematic review",6,"seen more often than expected in this context"
"Economy, Business And Finance","Hybrid (biology)",3,"seen more often than expected in this context"
"Economy, Business And Finance","Transportation planning",8,"seen more often than expected in this context"
"Economy, Business And Finance",Cali,4,"seen more often than expected in this context"
"Economy, Business And Finance",Gentrification,4,"seen more often than expected in this context"
"Economy, Business And Finance","Sistema Único de Saúde",3,"seen more often than expected in this context"
"Economy, Business And Finance","Rio de Janeiro (state)",3,"seen more often than expected in this context"
"Economy, Business And Finance",Space,7,"seen more often than expected in this context"
"Economy, Business And Finance","Cluster analysis",4,"seen more often than expected in this context"
"Economy, Business And Finance","Urban sprawl",7,"seen more often than expected in this context"
"Economy, Business And Finance","Dependency ratio",3,"seen more often than expected in this context"
"Economy, Business And Finance","Bike path",3,"seen more often than expected in this context"
"Economy, Business And Finance","High-occupancy vehicle lane",3,"seen more often than expected in this context"
"Economy, Business And Finance","Bicycle-sharing system",3,"seen more often than expected in this context"
"Economy, Business And Finance","Standard score",3,"seen more often than expected in this context"
"Economy, Business And Finance","Population decline",3,"seen more often than expected in this context"
"Economy, Business And Finance","Urban open space",4,"seen more often than expected in this context"
"Economy, Business And Finance","Total fertility rate",3,"seen more often than expected in this context"
"Economy, Business And Finance","Socioeconomic status",3,"seen more often than expected in this context"
"Economy, Business And Finance",Crowdsourcing,3,"seen more often than expected in this context"
"Economy, Business And Finance","World population",8,"seen more often than expected in this context"
"Economy, Business And Finance","São Paulo",5,"seen more often than expected in this context"
"Economy, Business And Finance","Northeast Region, Brazil",3,"seen more often than expected in this context"
"Economy, Business And Finance","Unpaid work",3,"seen more often than expected in this context"
"Economy, Business And Finance",Paratransit,3,"seen more often than expected in this context"
"Economy, Business And Finance","Mode of transport",4,"seen more often than expected in this context"
"Economy, Business And Finance","Road pricing",4,"seen more often than expected in this context"
"Economy, Business And Finance",Walkability,7,"seen more often than expected in this context"
"Economy, Business And Finance","Capital expenditure",3,"seen more often than expected in this context"
"Economy, Business And Finance","Heat wave",3,"seen more often than expected in this context"
"Economy, Business And Finance","Gini coefficient",6,"seen more often than expected in this context"
"Economy, Business And Finance","Vehicular automation",3,"seen more often than expected in this context"
"Economy, Business And Finance","Extreme weather",3,"seen more often than expected in this context"
"Economy, Business And Finance","Global Positioning System",6,"seen more often than expected in this context"
"Economy, Business And Finance",Carpool,4,"seen more often than expected in this context"
"Economy, Business And Finance",Slum,3,"seen more often than expected in this context"
"Economy, Business And Finance","Transit-oriented development",4,"seen more often than expected in this context"
"Economy, Business And Finance",Walking,4,"seen more often than expected in this context"
"Economy, Business And Finance",Pará,4,"seen more often than expected in this context"
"Economy, Business And Finance",Taxicab,4,"seen more often than expected in this context"
"Economy, Business And Finance",Well-being,7,"seen more often than expected in this context"
"Economy, Business And Finance",England,3,"seen more often than expected in this context"
"Economy, Business And Finance","Urban area",4,"seen more often than expected in this context"
"Economy, Business And Finance","Swedish Transport Administration",4,"seen more often than expected in this context"
"Economy, Business And Finance","Universal design",3,"seen more often than expected in this context"
"Economy, Business And Finance","Vision Zero",3,"seen more often than expected in this context"
"Economy, Business And Finance","IZA Institute of Labor Economics",3,"seen more often than expected in this context"
"Economy, Business And Finance","Economies of scale",4,"seen more often than expected in this context"
"Economy, Business And Finance",Lima,4,"seen more often than expected in this context"
"Economy, Business And Finance","São Paulo (state)",3,"seen more often than expected in this context"
"Economy, Business And Finance",Dementia,3,"seen more often than expected in this context"
Education,Science,6,"seen more often than expected in this context"
Education,Finland,4,"seen more often than expected in this context"
Education,"Government spending",4,"seen more often than expected in this context"
Education,"Health system",4,"seen more often than expected in this context"
Education,Insurance,4,"seen more often than expected in this context"
Education,"Rural area",4,"seen more often than expected in this context"
Education,School,4,"seen more often than expected in this context"
Education,"Survey methodology",4,"seen more often than expected in this context"
Education,Sweden,4,"seen more often than expected in this context"
Education,"Total fertility rate",4,"seen more often than expected in this context"
Education,"Bike path",3,"seen more often than expected in this context"
Education,"Child care",3,"seen more often than expected in this context"
Education,Discrimination,3,"seen more often than expected in this context"
Education,Law,3,"seen more often than expected in this context"
Environment,Nature,8,"seen frequently"
Environment,"Sustainable Development Goals",7,"seen more often than expected in this context"
Environment,Disease,5,"seen more often than expected in this context"
Environment,"Earth sciences",5,"seen frequently"
Environment,"Effects of climate change",5,"seen more often than expected in this context"
Environment,"Electric vehicle",5,"seen more often than expected in this context"
Environment,Energy,5,"seen frequently"
Environment,"Energy conservation",5,"seen more often than expected in this context"
Environment,"Low-carbon economy",5,"seen more often than expected in this context"
Environment,"Physical geography",5,"seen frequently"
Environment,Sea,5,"seen more often than expected in this context"
Environment,Water,5,"seen frequently"
Environment,"Active mobility",4,"seen more often than expected in this context"
Environment,"Carbon dioxide",4,"seen more often than expected in this context"
Environment,Climate,4,"seen more often than expected in this context"
Environment,"Diesel engine",4,"seen more often than expected in this context"
Environment,Ecology,4,"seen frequently"
Environment,"Ecosystem service",4,"seen more often than expected in this context"
Environment,"Environmental science",4,"seen frequently"
Environment,Exercise,4,"seen more often than expected in this context"
Environment,Forest,4,"seen frequently"
Environment,"Greenhouse gas emissions",4,"seen more often than expected in this context"
Environment,Hazard,4,"seen more often than expected in this context"
Environment,"Intergovernmental Panel on Climate Change",4,"seen more often than expected in this context"
Environment,"Invasive species",4,"seen more often than expected in this context"
Environment,"Mode of transport",4,"seen more often than expected in this context"
Environment,"Ocean acidification",4,"seen more often than expected in this context"
Environment,Particulates,4,"seen more often than expected in this context"
Environment,Photovoltaics,4,"seen more often than expected in this context"
Environment,Precipitation,4,"seen more often than expected in this context"
Environment,"Sea level rise",4,"seen more often than expected in this context"
Environment,"United States",4,"seen more often than expected in this context"
Environment,Vehicle,4,"seen more often than expected in this context"
Environment,"Water resources",4,"seen more often than expected in this context"
Environment,"World energy consumption",4,"seen more often than expected in this context"
Environment,"Climate change adaptation",3,"seen more often than expected in this context"
Environment,"Climate change vulnerability",3,"seen more often than expected in this context"
Environment,"Climate variability and change",3,"seen more often than expected in this context"
Environment,"Coral reef",3,"seen more often than expected in this context"
Environment,Drought,3,"seen more often than expected in this context"
Environment,"Earth phenomena",3,"seen more often than expected in this context"
Environment,"Ecological resilience",3,"seen more often than expected in this context"
Environment,"Economics of climate change mitigation",3,"seen more often than expected in this context"
Environment,Ecosystem,3,"seen frequently"
Environment,"Energy development",3,"seen frequently"
Environment,Environment,3,"seen frequently"
Environment,"Environmental technology",3,"seen frequently"
Environment,"General circulation model",3,"seen more often than expected in this context"
Environment,"Green infrastructure",3,"seen more often than expected in this context"
Environment,Groundwater,3,"seen frequently"
Environment,Habitat,3,"seen frequently"
Environment,"IPCC Fifth Assessment Report",3,"seen more often than expected in this context"
Environment,"IPCC Fourth Assessment Report",3,"seen more often than expected in this context"
Environment,"Indoor air quality",3,"seen more often than expected in this context"
Environment,"Shared transport",3,"seen more often than expected in this context"
Environment,"Mobility as a service",3,"seen more often than expected in this context"
Environment,"Special Report on Emissions Scenarios",3,"seen more often than expected in this context"
Environment,"Social vulnerability",3,"seen more often than expected in this context"
Environment,"Representative Concentration Pathway",3,"seen more often than expected in this context"
Environment,"Traffic collision",3,"seen more often than expected in this context"
Environment,Well-being,3,"seen more often than expected in this context"
Environment,"Storm surge",3,"seen more often than expected in this context"
Environment,Vulnerability,3,"seen more often than expected in this context"
Environment,"Quantitative research",3,"seen more often than expected in this context"
Environment,"Urban heat island",3,"seen more often than expected in this context"
Environment,Storm,3,"seen more often than expected in this context"
Environment,Walkability,3,"seen more often than expected in this context"
Environment,"Quality of life",3,"seen more often than expected in this context"
Environment,"Traffic congestion",3,"seen more often than expected in this context"
Environment,"Road traffic safety",3,"seen more often than expected in this context"
Environment,Population,3,"seen more often than expected in this context"
Environment,"Nature-based solutions",3,"seen more often than expected in this context"
Environment,Pedestrian,3,"seen more often than expected in this context"
Environment,"Tropical cyclone",3,"seen more often than expected in this context"
Environment,"Social exclusion",3,"seen more often than expected in this context"
Environment,Ocean,3,"seen more often than expected in this context"
Environment,"Sustainable transport",3,"seen more often than expected in this context"
Environment,Traffic,3,"seen more often than expected in this context"
Environment,"Poverty reduction",3,"seen more often than expected in this context"
Environment,Productivity,3,"seen more often than expected in this context"
Environment,Subsidy,3,"seen more often than expected in this context"
Health,Welfare,10,"seen frequently"
Health,"World population",8,"seen more often than expected in this context"
Health,Gender,7,"seen frequently"
Health,Medicine,7,"seen frequently"
Health,"Systematic review",7,"seen frequently"
Health,"Tertiary sector of the economy",7,"seen more often than expected in this context"
Health,Hospital,6,"seen frequently"
Health,Manaus,6,"seen more often than expected in this context"
Health,Pedestrian,6,"seen more often than expected in this context"
Health,"Standard deviation",6,"seen more often than expected in this context"
Health,"Traffic collision",6,"seen more often than expected in this context"
Health,Unemployment,6,"seen frequently"
Health,"Belo Horizonte",5,"seen more often than expected in this context"
Health,Intersectionality,5,"seen more often than expected in this context"
Health,"Long-term care",5,"seen frequently"
Health,"Old age",5,"seen frequently"
Health,"Porto Alegre",5,"seen more often than expected in this context"
Health,Recife,5,"seen more often than expected in this context"
Health,"Sistema Único de Saúde",5,"seen more often than expected in this context"
Health,Travel,5,"seen more often than expected in this context"
Health,Alagoas,4,"seen more often than expected in this context"
Health,Belém,4,"seen more often than expected in this context"
Health,"Chronic condition",4,"seen frequently"
Health,"Clinical medicine",4,"seen frequently"
Health,Dementia,4,"seen frequently"
Health,"Evidence-based medicine",4,"seen frequently"
Health,"Sparse matrix",3,"seen more often than expected in this context"
Health,"Natal, Rio Grande do Norte",3,"seen more often than expected in this context"
Health,"Programa Saúde da Família",3,"seen more often than expected in this context"
Health,"Google Scholar",3,"seen more often than expected in this context"
Health,"Salvador, Bahia",3,"seen more often than expected in this context"
Health,Autocorrelation,3,"seen more often than expected in this context"
Health,"Congestion pricing",3,"seen more often than expected in this context"
Health,"Transportation planning",4,"seen more often than expected in this context"
Health,"Capability approach",3,"seen more often than expected in this context"
Health,"Northeast Region, Brazil",3,"seen more often than expected in this context"
Health,"Economics of climate change mitigation",3,"seen more often than expected in this context"
Health,"Economies of scale",3,"seen more often than expected in this context"
Health,"Capital expenditure",3,"seen more often than expected in this context"
Health,Paratransit,3,"seen more often than expected in this context"
Health,Walking,4,"seen more often than expected in this context"
Health,Gentrification,3,"seen more often than expected in this context"
Health,"Population decline",3,"seen more often than expected in this context"
Health,Eurostat,3,"seen more often than expected in this context"
Health,"Extreme weather",4,"seen more often than expected in this context"
Health,Pará,4,"seen more often than expected in this context"
Health,"Global Positioning System",3,"seen more often than expected in this context"
Health,Taxicab,4,"seen more often than expected in this context"
Health,"Matrix (mathematics)",3,"seen more often than expected in this context"
Health,"São Paulo",3,"seen more often than expected in this context"
Health,Color,3,"seen more often than expected in this context"
Health,"Normal distribution",4,"seen more often than expected in this context"
Health,"Probability distribution",4,"seen more often than expected in this context"
Health,"Urban sprawl",3,"seen more often than expected in this context"
Health,"Dependency ratio",3,"seen more often than expected in this context"
Health,"Income distribution",4,"seen more often than expected in this context"
Health,"Unpaid work",3,"seen more often than expected in this context"
Health,Walkability,3,"seen more often than expected in this context"
Health,"Total fertility rate",4,"seen more often than expected in this context"
Health,"Gini coefficient",4,"seen more often than expected in this context"
Health,"Traffic congestion",3,"seen more often than expected in this context"
Health,Geography,4,"seen more often than expected in this context"
Health,"Redistribution of income and wealth",3,"seen more often than expected in this context"
Health,"Universal design",3,"seen more often than expected in this context"
Health,"Heat wave",4,"seen more often than expected in this context"
Health,"Electric vehicle",3,"seen more often than expected in this context"
Health,Utility,3,"seen more often than expected in this context"
Health,"Cycling infrastructure",3,"seen more often than expected in this context"
Health,"Logistic regression",3,"seen more often than expected in this context"
Health,Bicycle,3,"seen more often than expected in this context"
Health,"Linear regression",3,"seen more often than expected in this context"
Health,Theory,3,"seen more often than expected in this context"
Health,"Remote work",4,"seen more often than expected in this context"
Health,England,3,"seen more often than expected in this context"
Health,"Statistical significance",3,"seen more often than expected in this context"
Health,"Population ageing",3,"seen more often than expected in this context"
Health,"Household income in the United States",4,"seen more often than expected in this context"
Health,Finland,4,"seen more often than expected in this context"
Health,"Driver's license",3,"seen more often than expected in this context"
Health,"Correlation and dependence",3,"seen more often than expected in this context"
Labour,Safety,4,"seen more often than expected in this context"
Labour,"Universal design",3,"seen more often than expected in this context"
Politics,Budget,5,"seen more often than expected in this context"
Politics,Municipality,5,"seen more often than expected in this context"
Politics,"Health insurance",4,"seen more often than expected in this context"
Politics,Pará,4,"seen more often than expected in this context"
Politics,"Computer accessibility",3,"seen more often than expected in this context"
Politics,Human,3,"seen more often than expected in this context"
Politics,"Information and communications technology",3,"seen more often than expected in this context"
Politics,"Intensive care unit",3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Logistic regression",12,"seen more often than expected in this context"
"Science And Technology > Mathematics","Discrete choice",10,"seen more often than expected in this context"
"Science And Technology > Mathematics","Multinomial logistic regression",9,"seen more often than expected in this context"
"Science And Technology > Mathematics",Utility,9,"seen more often than expected in this context"
"Science And Technology > Mathematics","Mode choice",7,"seen more often than expected in this context"
"Science And Technology > Mathematics","Ordinary least squares",7,"seen more often than expected in this context"
"Science And Technology > Mathematics","Fixed effects model",6,"seen more often than expected in this context"
"Science And Technology > Mathematics","Gini coefficient",6,"seen more often than expected in this context"
"Science And Technology > Mathematics","Linear regression",6,"seen more often than expected in this context"
"Science And Technology > Mathematics",Mean,6,"seen more often than expected in this context"
"Science And Technology > Mathematics",Space,6,"seen more often than expected in this context"
"Science And Technology > Mathematics",Justice,5,"seen more often than expected in this context"
"Science And Technology > Mathematics",Mathematics,5,"seen more often than expected in this context"
"Science And Technology > Mathematics","Matrix (mathematics)",5,"seen more often than expected in this context"
"Science And Technology > Mathematics","Subjective well-being",5,"seen more often than expected in this context"
"Science And Technology > Mathematics","Transportation planning",5,"seen more often than expected in this context"
"Science And Technology > Mathematics",Well-being,5,"seen more often than expected in this context"
"Science And Technology > Mathematics",Autocorrelation,4,"seen more often than expected in this context"
"Science And Technology > Mathematics","Cluster analysis",4,"seen more often than expected in this context"
"Science And Technology > Mathematics","Coefficient of determination",4,"seen more often than expected in this context"
"Science And Technology > Mathematics",Distance,4,"seen more often than expected in this context"
"Science And Technology > Mathematics",Econometrics,4,"seen more often than expected in this context"
"Science And Technology > Mathematics","Instrumental variables estimation",4,"seen more often than expected in this context"
"Science And Technology > Mathematics","Life satisfaction",4,"seen more often than expected in this context"
"Science And Technology > Mathematics",Multicollinearity,4,"seen more often than expected in this context"
"Science And Technology > Mathematics","Applied mathematics",3,"seen more often than expected in this context"
"Science And Technology > Mathematics",Behavior,3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Educational technology",3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Eigenvalues and eigenvectors",3,"seen more often than expected in this context"
"Science And Technology > Mathematics",GTFS,3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Income inequality metrics",3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Mathematical optimization",3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Measure (mathematics)",3,"seen more often than expected in this context"
"Science And Technology > Mathematics",Median,3,"seen more often than expected in this context"
"Science And Technology > Mathematics","Mood (psychology)",3,"seen more often than expected in this context"
